UNITID,OPEID,OPEID6,INSTNM,CITY,STABBR,INSTURL,NPCURL,HCM2,PREDDEG,HIGHDEG,CONTROL,LOCALE,HBCU,PBI,ANNHI,TRIBAL,AANAPII,HSI,NANTI,MENONLY,WOMENONLY,RELAFFIL,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SATVRMID,SATMTMID,SATWRMID,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTWR25,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,SAT_AVG_ALL,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,CURROPER,NPT4_PUB,NPT4_PRIV,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,NPT41_PRIV,NPT42_PRIV,NPT43_PRIV,NPT44_PRIV,NPT45_PRIV,PCTPELL,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,PCTFLOAN,UG25ABV,MD_EARN_WNE_P10,GT_25K_P6,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,RPY_3YR_RT_SUPP,C150_L4_POOLED_SUPP,C150_4_POOLED_SUPP
bama,Tuscaloosa,AL,www.ua.edu/,financialaid.ua.edu/net-price-calculator/,0,3,4,1,13,0,0,0,0,0,0,0,0,0,NULL,490,600,490,610,480,600,545,550,540,22,31,22,32,21,29,7,8,27,27,25,8,1181,1181,0,0.0039,0,0.0035,0.107,0,0.0067,0,0.0696,0.0788,0,0.0071,0.0714,0,0.0164,0,0,0.0378,0.0083,0,0.0256,0,0.0041,0,0.0095,0,0.035,0.0286,0.0102,0.0364,0,0,0,0,0.0295,0.1065,0.2886,0.0155,0,31005,0.7807,0.1092,0.0399,0.0113,0.0035,0.0009,0.0271,0.0245,0.0029,0.0825,1,20575,NULL,17263,19279,21309,22594,23599,NULL,NULL,NULL,NULL,NULL,0.2009,0.8647,NULL,0.4667,NULL,0.4059,0.081,42700,0.695,23750,245.56919610106,0.5911430119,NULL,0.6638
100760,00100700,001007,Central Alabama Community College,Alexander City,AL,www.cacc.edu,www.cacc.edu/NetPriceCalculator/14-15/npcalc.html,0,2,2,1,32,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0.0189,0.022,0,0,0.044,0,0,0,0,0.3742,0,0,0,0,0.0346,0,0,0,0,0,0,0,0,0,0,0.022,0.0849,0,0,0.2453,0.1541,0,0,1546,0.7141,0.26,0.0123,0.0045,0.0019,0,0.0032,0.0019,0.0019,0.3745,1,5958,NULL,5180,5721,7518,9093,9834,NULL,NULL,NULL,NULL,NULL,0.5554,NULL,0.523,NULL,0.5397,0.3574,0.263,27200,0.466,9388,97.0696258103897,0.263502455,0.1722,NULL
100812,00100800,001008,Athens State University,Athens,AL,www.athens.edu,https://24.athens.edu/apex/prod8/f?p=174:1:3941357449598491,0,3,3,1,31,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0.0501,0,0.2303,0,0,0,0,0,0.0363,0.0551,0,0.015,0.0225,0,0.015,0.0088,0.01,0,0.005,0,0.0325,0.0263,0,0.0288,0,0,0,0,0.0263,0.01,0.4205,0.0075,0,2904,0.7817,0.1185,0.0189,0.0062,0.0152,0.0007,0.0189,0.0055,0.0344,0.5778,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4233,NULL,NULL,NULL,NULL,0.6512,0.6774,38500,0.653,18534,191.637030759455,0.4942462601,NULL,NULL
100830,00831000,008310,Auburn University at Montgomery,Montgomery,AL,www.aum.edu,www.aum.edu/current-students/financial-information/net-price-calculator,0,3,4,1,12,0,0,0,0,0,0,0,0,0,NULL,450,520,470,540,NULL,NULL,485,505,NULL,19,23,19,25,17,22,NULL,NULL,21,22,20,NULL,990,990,0,0.0017,0,0,0.0588,0,0,0,0.079,0,0,0.0067,0,0,0.0319,0.037,0,0.0571,0.0067,0,0,0.0336,0,0,0.0235,0,0.0387,0.0471,0,0.0336,0,0,0,0,0.0286,0.2555,0.2471,0.0134,0,4142,0.5355,0.351,0.007,0.0241,0.0051,0.0017,0.0316,0.0316,0.0123,0.2569,1,14176,NULL,12857,14215,15572,17266,16094,NULL,NULL,NULL,NULL,NULL,0.4373,0.6463,NULL,0.4727,NULL,0.5584,0.2257,33500,0.616,22192.5,229.465026714643,0.4162696959,NULL,0.2115
100858,00100900,001009,Auburn University,Auburn,AL,www.au

burn.edu,www.auburn.edu/admissions/money-matters.html,0,3,4,1,13,0,0,0,0,0,0,0,0,0,NULL,530,630,540,650,520,620,580,595,570,24,30,25,32,23,28,7,8,27,29,26,8,1218,1218,0.0433,0.0152,0.0175,0,0.0533,0,0.0066,0,0.0939,0.1741,0,0.0135,0.0331,0,0.0155,0,0,0.0873,0.0091,0,0.0223,0,0.0015,0,0.0135,0,0.0329,0,0.0214,0.0407,0,0,0,0,0.0367,0.0575,0.1989,0.0122,0,21551,0.842,0.0671,0.0323,0.025,0.0063,0.0001,0.0057,0.0131,0.0085,0.0894,1,22183,NULL,17216,19189,22210,24383,25805,NULL,NULL,NULL,NULL,NULL,0.1631,0.898,NULL,0.6923,NULL,0.347,0.0427,47100,0.741,21500,222.304745944118,0.731666973,NULL,0.7188
100937,00101200,001012,Birmingham Southern College,Birmingham,AL,www.bsc.edu/,www.bsc.edu/fp/np-calculator.cfm,0,3,3,2,12,0,0,0,0,0,0,0,0,0,71,480,590,500,610,NULL,NULL,535,555,NULL,23,29,23,30,22,28,NULL,NULL,26,27,25,NULL,1167,1167,0,0.0225,0,0,0.009,0,0,0,0.0495,0.009,0,0.0135,0,0,0.0405,0,0,0.1261,0.0405,0,0.027,0,0.0315,0,0.0721,0,0.1081,0,0,0.0856,0,0,0,0,0.0991,0,0.2207,0.045,0,1346,0.7912,0.1137,0.0208,0.0535,0.0097,0,0.0089,0,0.0022,0.0067,1,NULL,21562,NULL,NULL,NULL,NULL,NULL,18551,17803,20676,21980,24681,0.1992,0.8608,NULL,NULL,NULL,0.4633,0.0141,45600,0.637,26850,277.622438539514,0.747826087,NULL,0.627
101028,01218200,012182,Chattahoochee Valley Community College

,Phenix City,AL,www.cv.edu,https://external.cv.edu/npc/npcalc.htm,0,2,2,1,41,0,1,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0.0575,0,0,0,0.0354,0,0,0,0,0.3982,0,0,0,0,0,0,0,0,0,0,0,0.0796,0,0,0,0,0,0,0.0044,0.2743,0.1504,0,0,1566,0.4662,0.4393,0.0453,0.0109,0.0038,0.0057,0.0166,0,0.0121,0.3914,1,1403,NULL,876,854,2891,4944,5620,NULL,NULL,NULL,NULL,NULL,0.605,NULL,0.5444,NULL,0.2063,0.3058,0.3604,26300,0.41,9389.5,97.0851354438277,0.2684824903,0.1376,NULL
101073,01055400,010554,Concordia College Alabama,Selma,AL,www.ccal.edu/,www.ccal.edu/admissions/net-pricing-calculator/,0,2,3,2,32,1,0,0,0,0,0,0,0,0,68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0.1765,0,0,0,0,0,0,0.451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3725,0,0,379,0.0317,0.9077,0.0317,0.0026,0,0,0,0.0264,0,0.0923,1,NULL,21838,NULL,NULL,NULL,NULL,NULL,21197,22616,23323,26486,NULL,0.9048,0.4468,NULL,0,NULL,0.9249,0.1294,20600,0.356,36870,381.226789905099,0.1184834123,NULL,0.1458
101116,01303906,013039,South University-Montgomery,Montgomery,AL,"www.southuniversity.edu/montgomery#location=Montgomery,%20AL",tcc.noellevitz.com/edmc/South Net Price Calculator,0,3,4,3,12,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0.1009,0,0,0,0,0,0,0.0642,0,0,0,0,0,0,0,0,0,0,0,0,0.0092,0.055,0,0,0,0,0,0,0,0.6881,0.0826,0,0,460,0.3283,0.5913,0.0217,0.0152,0.0109,0.0087,0,0.0022,0.0217,0.2674,1,NULL,21275,NULL,NULL,NULL,NULL,NULL,20558,22448,23408,27628,NULL,0.6922,0.44,NULL,0.125,NULL,0.7304,0.6109,30300,0.58,25000,258.493890632695,0.226137931,NULL,0.0792
101143,00101500,001015,Enterprise State Community College,Enterprise,AL,www.escc.edu,www.escc.edu/NetPrice/npcalc.htm,0,2,2,1,32,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0.0243,0,0,0,0,0,0.0121,0.0162,0,0.3927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3684,0,0,0,0.0202,0.166,0,0,1528,0.6296,0.2435,0.0582,0.0216,0.0046,0.0033,0.0334,0.0007,0.0052,0.4071,1,4499,NULL,3549,4609,5786,8075,8596,NULL,NULL,NULL,NULL,NULL,0.4928,NULL,0.557,NULL,0.3656,0.2128,0.2896,29800,0.518,7155,73.9809514990774,0.4375634518,0.1026,NULL
101161,00106000,001060,James H Faulkner State Community College,Bay Minette,AL,www.faulknerstate.edu,www.faulknerstate.edu,0,2,2,1,32,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0058,0,0,0,0,0.0136,0.033,0,0,0,0.0019,0,0,0.0117,0,0.4641,0,0,0,0,0,0.0058,0,0,0,0,0,0,0,0,0.0019,0.0214,0.0039,0,0.0233,0.2951,0.1184,0,0,4372,0.6921,0.2246,0.0341,0.0089,0.0185,0.0018,0.0165,0.0016,0.0018,0.4085,1,6813,NULL,5343,6341,8563,9749,9593,NULL,NULL,NULL,NULL,NULL,0.4634,NULL,0.566,NULL,0.3482,0.5107,0.2598,28700,0.475,11000,113.737311878385,0.3568502503,0.1146,NULL
101189,00100300,001003,Faulkner University,Montgomery,AL,www.faulkner.edu,www.faulkner.edu/net-price-calculator-form/,0,3,4,2,12,0,1,0,0,0,0,0,0,0,74,430,520,440,510,430,510,475,475,470,18,24,18,24,16,23,NULL,NULL,21,21,20,NULL,985,985,0,0,0,0,0,0,0.0112,0,0.0412,0,0,0,0,0.015,0.015,0.03,0,0.0112,0.0037,0,0,0.0318,0,0.0094,0,0,0.0206,0.1592,0,0.0075,0,0,0,0,0.0225,0.0412,0.5768,0.0037,0,2282,0.3996,0.5079,0.0241,0.0026,0.0061,0.0026,0.0193,0.0215,0.0162,0.2244,1,NULL,23970,NULL,NULL,NULL,NULL,NULL,23712,25216,24682,23567,21981,0.5596,0.5669,NULL,0.5,NULL,0.7105,0.4353,35900,0.614,21750,224.889684850445,0.3014899211,NULL,0.2553
101240,00101700,001017,Gadsden State Community College,Gadsden,AL,www.gadsdenstate.edu,www.gadsdenstate.edu/net-price-calculator,0,1,2,1,13,1,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0039,0,0,0,0,0,0.0176,0.0273,0,0,0.1783,0,0.0325,0.0163,0,0.1457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111,0.2518,0.0683,0,0,0.1789,0.0683,0,0,4613,0.6978,0.1968,0.0308,0.0046,0.0113,0.0011,0.0269,0.0212,0.0095,0.4526,1,3682,NULL,3602,3994,5751,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5604,NULL,0.5642,NULL,0.4465,0,0.332,25400,0.379,PrivacySuppressed,PrivacySuppressed,NULL,0.1568,NULL
101277,04187200,041872,New Beginning College of Cosmetology,Albertville,AL,www.nbccosmetology.com,www.nbccosmetology.com/npcalc.htm,0,1,1,3,32,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0.8791,0.022,0.0989,0,0,0,0,0,0,0.0879,1,NULL,9463,NULL,NULL,NULL,NULL,NULL,9375,9410,10585,NULL,NULL,0.6707,NULL,0.8448,NULL,0,0.5749,0.2747,NULL,NULL,5500,56.8686559391929,0.4,0.7155,NULL
101286,00101800,001018,George C Wallace State Community 

College-Dothan,Dothan,AL,www.wallace.edu,www.wallace.edu/net_price_calculator.aspx,0,2,2,1,41,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0.0142,0.0385,0,0,0.079,0,0.0537,0,0,0.232,0,0,0,0,0,0,0,0,0,0.003,0,0.0314,0,0,0.0638,0.0284,0.0496,0,0,0.381,0.0253,0,0,4173,0.6348,0.3094,0.0268,0.0065,0.0055,0.0017,0.0134,0,0.0019,0.4862,1,3067,NULL,2828,3522,4690,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5398,NULL,0.5921,NULL,0.4104,0,0.3422,24800,0.374,PrivacySuppressed,PrivacySuppressed,NULL,0.1721,NULL
101295,00787100,007871,George C Wallace State Community College-Hanceville,Hanceville,AL,www.wallacestate.edu,www.wallacestate.edu/Financial-Aid/Net-Price-Calculator,0,2,2,1,32,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0.0127,0.0264,0,0,0.0437,0,0.0045,0.0109,0,0.2247,0,0,0,0,0.0637,0,0,0,0,0,0,0.0237,0,0,0,0.0473,0.0328,0.0146,0.0073,0.4559,0.0318,0,0,4821,0.8486,0.0631,0.038,0.0073,0.0097,0,0,0.0075,0.0259,0.4626,1,7008,NULL,6585,6095,9296,11065,11169,NULL,NULL,NULL,NULL,NULL,0.4982,NULL,0.6045,NULL,0.4221,0.3915,0.2671,31100,0.537,11000,113.737311878385,0.4402676011,0.2923,NULL
101301,00569900,005699,George C Wallace State Community College-Selma,Selma,AL,www.wccs.edu,wccs.edu/home/admissions/financial-aid/net-price-calculator/,0,2,2,1,32,0,1,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0.0151,0.063,0,0,0.0126,0,0,0,0,0.335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1385,0.0252,0.1738,0,0,0.1814,0.0554,0,0,1383,0.1902,0.7628,0.0072,0.0029,0.0022,0,0.0043,0.0051,0.0253,0.3637,1,7688,NULL,7624,9004,12215,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7398,NULL,0.5677,NULL,0.3855,0,0.2753,23100,0.376,PrivacySuppressed,PrivacySuppressed,NULL,0.1879,NULL
101365,00962107,009621,Herzing University-Birmingham,Birmingham,AL,www.herzing.edu/,www.herzing.edu/financial-aid/net-price-calculator,0,1,4,3,21,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0.0169,0,0,0,0.0506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0169,0,0,0,0,0,0,0,0.8596,0.0562,0,0,360,0.3722,0.5083,0.0333,0,0.0028,0.0056,0.0444,0,0.0333,0.4972,1,NULL,23186,NULL,NULL,NULL,NULL,NULL,23060,21695,25307,26546,NULL,0.5927,0.5,NULL,NULL,NULL,0.7219,0.7147,40300,0.566,23713.5,245.191795020736,0.2771250864,NULL,0.4118
101435,00101900,001019,Huntingdon College,Montgomery,AL,www.huntingdon.edu,hawk.huntingdon.edu/oiac/netpricecalculator/npcalc.htm,0,3,3,2,12,0,0,0,0,0,0,0,0,0,71,440,550,450,568,NULL,NULL,495,509,NULL,19,23,18,24,16,22,NULL,NULL,21,21,19,NULL,992,992,0,0,0,0,0.039,0,0,0,0.1039,0,0,0,0,0,0.0087,0,0,0.0823,0.0173,0,0,0.0823,0.0173,0.0087,0.0303,0,0.039,0,0,0.013,0,0,0,0,0.0303,0.0216,0.4848,0.0216,0,1160,0.631,0.2164,0.0345,0.006,0.0095,0.0009,0.031,0.0017,0.069,0.2293,1,NULL,19685,NULL,NULL,NULL,NULL,NULL,16621,17760,19988,21948,22932,0.4207,0.6608,NULL,NULL,NULL,0.6862,0.2196,36800,0.612,26477.5,273.770879569087,0.4992657856,NULL,0.4327
101453,02199700,021997,Heritage Christian University,Florence,AL,www.hcu.edu,www.hcu.edu/netpricecalculator/,0,3,4,2,13,0,0,0,0,0,0,0,0,0,74,380,660,400,610,300,560,520,505,430,14,17,11,16,16,17,11,12,16,14,17,12,848,848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0.7586,0.1552,0.0172,0,0.0345,0,0.0172,0.0172,0,0.4655,1,NULL,11194,NULL,NULL,NULL,NULL,NULL,11464,10925,NULL,NULL,NULL,0.5806,0,NULL,NULL,NULL,0.3226,0.5862,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,PrivacySuppressed
